Brand;Fragrance;Tier;Gender;Top Notes;Middle Notes;Base Notes;Accords;Rating;Rating Count
Arabian Oud;Musk Tahara;Statement;women;;;;musky, powdery;4.71;51.0
Arabian Oud;Musk Al Khaleej;Statement;unisex;;;;musky, powdery;4.0;23.0
Arabian Oud;Mukhallat Dewan Al Sharq;Wildcard;unisex;;;;oud, fresh spicy;4.54;41.0
Arabian Oud;Moody;Statement;unisex;Jackfruit and Bergamot;Vanilla and Lemon Peel;;tropical, citrus, vanilla, fruity, woody;4.48;42.0
Arabian Oud;Majestic Special Oud;Statement, Wildcard;unisex;;;;oud, warm spicy, powdery, woody, rose;4.52;105.0
Arabian Oud;Madawi Gold Edition;Wildcard;unisex;Fruity Notes and Cardamom;Pineapple blossom, Jasmine and Tonka Bean;Vanilla and Patchouli;fruity, vanilla, sweet, white floral, warm spicy;4.64;22.0
Arabian Oud;Majestic;Statement, Wildcard;women;Fruity Notes, Wild Rose and Bergamot;Hyacinth, Woody Notes and Artemisia;White Musk, Incense, Agarwood (Oud) and Sandalwood;woody, rose, floral, musky, fresh spicy;4.04;54.0
Arabian Oud;Shahrayar Men;Wildcard;men;Honeysuckle, Orange Blossom and Mint;Vetiver, Nutmeg, Geranium and Violet;Papyrus, White Musk, Amber and Vanilla;aromatic, woody, fresh spicy, white floral, green;4.21;42.0
Arabian Oud;Musk Kaaba;Statement;unisex;;;;musky, powdery;4.26;27.0
Arabian Oud;Shahrazad;Statement;women;Cranberry, Beeswax and Floral Notes;Ylang-Ylang, Patchouli, Kyara Incense and Lotus;Black Musk, Nerium Oleander and Woody Notes;floral, woody, fruity, musky, beeswax;4.16;56.0
Arabian Oud;Aseel;Wildcard;men;;;;vanilla, woody, warm spicy, rose, oud;4.42;38.0
Arabian Oud;Signature;Statement, Wildcard;men;Cardamom, Violet, Lemongrass and Sage;Virginian Cedar and Indonesian Patchouli Leaf;Crystal Amber, Musk and Atlas Cedar;powdery, woody, warm spicy, amber, aromatic;4.6;52.0
Arabian Oud;Solid Black;Statement;unisex;Peach, Mandarin Orange and Bergamot;Rose, Orange Blossom, Magnolia and Geranium;Praline, Sandalwood, Vanilla and Musk;sweet, fruity, woody, powdery, citrus;4.42;48.0
Arabian Oud;Special Nights;Wildcard;men;Cranberry and Bergamot;Spicy Notes, Lavender and Ylang-Ylang;Musk and Sandalwood;musky, powdery, warm spicy, lavender, fruity;4.34;35.0
Arabian Oud;Sultan Blend;Wildcard;men;;Orange Blossom and Rose;Sandalwood and Lily-of-the-Valley;white floral, woody, rose, amber, warm spicy;4.48;25.0
Arabian Oud;Sultani;Statement, Wildcard;men;Red Berries, Cardamom, Pink Pepper, Bergamot and Tangerine;Damask Rose, Freesia and Lily-of-the-Valley;White Musk, Amber, Sandalwood and Patchouli;musky, warm spicy, citrus, powdery, fruity;4.61;137.0
Arabian Oud;Tarteel Gold;Statement, Wildcard;unisex;Saffron, Bergamot and Lemon;Rose, Cinnamon, Orris and Orange Blossom;Agarwood (Oud), Musk, Vanilla, Patchouli and Ambergris;rose, warm spicy, oud, musky, powdery;4.52;58.0
Arabian Oud;Tarteel Silver;Statement;men;Pear and Bergamot;Cedar, Lotus and Jasmine;Vanilla, Sandalowood, Musk and Amber;woody, powdery, vanilla, musky, sweet;4.53;95.0
Arabian Oud;Tohfa;Statement, Wildcard;women;;;;oud, rose, amber, musky, animalic;4.15;59.0
Arabian Oud;Woody;Statement, Wildcard;unisex;;Rose and Patchouli;Musk and Amber;oud, rose, musky, patchouli, amber;4.21;188.0
Arabian Oud;Woody Intense;Safe, Statement, Wildcard;unisex;Heliotrope and Rosemary;Cardamom and Geranium;Musk, Patchouli, Amber and Vanilla;musky, patchouli, warm spicy, powdery, woody;4.34;171.0
Arabian Oud;Woody Style;Statement, Wildcard;unisex;Lotus and White Musk;Amber and Cedar;;oud, amber, woody, floral, powdery;4.41;82.0
Arabian Oud;Yacht Mood;Wildcard;men;;Marine notes and Orange Blossom;Sandalwood and Vanilla;citrus, marine, aromatic, woody, fresh spicy;4.52;25.0
Arabian Oud;Aseel Special Edition;Statement;men;mulberry, Ozonic notes and Orange Blossom;Vanilla, Rose and Caramel;Musk, Ambergris and Patchouli;vanilla, rose, caramel, sweet, ozonic;4.49;127.0
Arabian Oud;Madawi;Safe, Statement;women;Peach and Apple Blossom;;Musk, Wild Rose and Patchouli;fruity, musky, floral, rose, powdery;4.52;315.0
Arabian Oud;Shatha;Statement;women;;;;white floral, floral, yellow floral, lactonic, rose;4.05;41.0
Arabian Oud;Lou Lou;Statement;women;Hibiscus and Gardenia;Lotus and Freesia;;floral, white floral, aquatic;3.53;34.0
Arabian Oud;Mukhallat Al Shiyoukh;Wildcard;unisex;Galbanum, Spicy Notes, Lemon and Herbal Notes;Rose, Cloves, Cinnamon, Jasmine and Lavender;Vanilla, Amber, Patchouli, Musk, Cedar and Vetiver;warm spicy, rose, amber, vanilla, powdery;4.22;27.0
Arabian Oud;Lamsa;Statement;women;;;Vanilla and Musk;honey, fruity, vanilla, sweet, musky;3.99;80.0
Arabian Oud;D/oud Camboodi;Wildcard;unisex;;;;oud, fresh spicy;4.66;32.0
Arabian Oud;Bussma;Wildcard;men;Saffron and Bergamot;Vanilla and Amber;Cedar and Tonka Bean;warm spicy, vanilla, metallic, leather, woody;4.73;30.0
Arabian Oud;Blue Oud;Statement, Wildcard;men;;;;oud, musky, woody, animalic, powdery;4.4;88.0
Arabian Oud;Asalat Al Musk;Statement;women;;;;musky, powdery;4.36;70.0
Arabian Oud;Arabian Prestige Rose;Statement;unisex;Rose and Star Jasmine;Magnolia and Frangipani;Hibiscus and Olibanum;floral, rose, white floral, amber, citrus;3.75;24.0
Arabian Oud;Arabian Prestige Classic;Wildcard;unisex;;;Patchouli and Vetiver;woody, vanilla, powdery, warm spicy, patchouli;4.33;21.0
Arabian Oud;Arabian Nights Gold;Wildcard;unisex;Artemisia, Ginger Leaf, Cardamom, Mandarin Orange and Bergamot;Lavender, Incense, Pink Pepper, Musk and Rose;Vetiver, Vanilla, Labdanum and Patchouli;warm spicy, aromatic, herbal, amber, woody;4.17;30.0
Arabian Oud;Arabian Nights Black;Statement, Wildcard;unisex;Green Apple and Bergamot;Vanilla and Jasmine;Cinnamon, Cloves, Amber, Musk and Patchouli;warm spicy, cinnamon, vanilla, amber, powdery;4.48;64.0
Arabian Oud;Arabian Musk;Statement;unisex;;;;musky, powdery;4.18;38.0
Arabian Oud;Dehen Oud Cambodi Muattak;Wildcard;unisex;;;;oud, fresh spicy;4.65;20.0
Arabian Oud;Arabian Legend Women;Wildcard;women;Saffron and Mandarin Orange;Rose and Patchouli;Woody Notes and Amber;warm spicy, woody, rose, citrus, metallic;4.35;49.0
Arabian Oud;Arabian Leather;Wildcard;unisex;Pink Pepper and Bergamot;Orris Root, Amber and Caramel;Musk and Vetiver;powdery, iris, musky, earthy, woody;4.69;45.0
Arabian Oud;Arabian Knight Silver;Statement, Wildcard;men;Bergamot and Geranium;Amber, Cashmeran and Sandalwood;Musk, Vanilla and Patchouli;powdery, musky, woody, amber, fresh spicy;4.4;138.0
Arabian Oud;Arabian Knight;Safe, Statement, Wildcard;men;Citron and Jasmine;Cinnamon and Rose;Amber, Cedar, Vanilla and Musk;amber, citrus, cinnamon, warm spicy, powdery;4.36;213.0
Arabian Oud;Amiri;Safe;unisex;Tangerine, Bergamot and Pink Pepper;Patchouli, Nutmeg and Cedar;Amber, Vanilla, Sandalwood and Musk;citrus, amber, powdery, woody, sweet;4.65;194.0
Arabian Oud;Almas Gold;Wildcard;unisex;;Cloves and Saffron;;citrus, warm spicy, fresh spicy, rose, aromatic;3.8;20.0
Arabian Oud;Al Hamra;Statement;women;;Jasmine, Rose and Lilac;Floral Notes and Musk;floral, fresh, musky, fruity;4.15;80.0
Arabian Oud;Al Fareed;Statement, Wildcard;men;Pink Pepper, Bergamot and Geranium;Ambergris, Violet and Patchouli;Agarwood (Oud), Musk and Vanilla;amber, musky, powdery, oud, animalic;4.58;114.0
Arabian Oud;Adore;Wildcard;women;Almond, Coffee, Lemon and Bergamot;Orange Blossom, Jasmine, Rum and Bulgarian Rose;Amber, Musk, Patchouli and Tonka Bean;white floral, citrus, sweet, amber, warm spicy;4.3;20.0
Arabian Oud;1001 Night;Wildcard;unisex;;;;woody, citrus, warm spicy, powdery, musky;4.02;41.0
Arabian Oud;Arabian Legend Men;Statement, Wildcard;men;Blackberry, Saffron and Citruses;;Musk, Sandalwood and Cedar;fruity, musky, woody, oud, warm spicy;4.36;50.0
Arabian Oud;Desert Falcon;Statement;unisex;;Apple Blossom and Lime;;citrus, musky, floral, fresh, powdery;4.54;90.0
Arabian Oud;Layal;Wildcard;unisex;Tobacco and Myrrh;Rose and Lemon Peel;;tobacco, rose, sweet, amber, woody;4.0;30.0
Arabian Oud;Durrat Al Arabia;Statement;women;Mandarin Orange, Grapefruit and Lemon;Rose, Jasmine and Galbanum;Musk, Cedar, Patchouli, Amber, Vanilla and Sandalwood;citrus, musky, woody, aromatic, powdery;3.65;23.0
Arabian Oud;Kalemat Black;Safe, Statement, Wildcard;unisex;Basil, Incense and Fruits;Vanilla and Woodsy Notes;Amber and Cambodian Oud;vanilla, amber, powdery, fresh spicy, aromatic;4.46;602.0
Arabian Oud;Kalemat Floral;Wildcard;unisex;;;;rose, warm spicy, amber, floral, tropical;4.58;33.0
Arabian Oud;Kalemat Musk;Statement;unisex;;;;musky, white floral, vanilla, powdery, lactonic;4.37;27.0
Arabian Oud;Kalemat Wood;Statement, Wildcard;unisex;;;;oud, vanilla, fresh spicy, musky, powdery;4.61;56.0
Arabian Oud;Kashkha;Statement;women;Orange and Peach;Jasmine, Violet and Rose;Musk and Iris;powdery, citrus, musky, violet, white floral;4.28;25.0
Arabian Oud;Kashkha 5;Wildcard;women;Saffron and Orange Blossom;Sandalwood and Hibiscus;;warm spicy, woody, white floral, powdery, metallic;4.1;30.0
Arabian Oud;Kashmir;Statement;men;Yuzu, Black Currant and Plum;Rose and Jasmine;Kashmir wood, Agarwood (Oud), White Musk and Vanilla;fruity, woody, musky, citrus, sweet;4.49;84.0
Arabian Oud;Kashmir Musk;Wildcard;unisex;Pear Blossom, Pink Pepper and Bergamot;Jasmine and Tuberose;Musk and Patchouli;white floral, tuberose, musky, floral, animalic;4.65;96.0
Arabian Oud;Horoof;Wildcard;unisex;;;;leather, warm spicy, amber, musky, woody;4.34;38.0
Arabian Oud;Hayati 5;Statement;women;;;;tropical, fruity, fresh, floral, rose;4.3;23.0
Arabian Oud;Kalemat Amber;Wildcard;unisex;;;;amber, vanilla, woody, powdery, animalic;4.56;55.0
Arabian Oud;Diwan;Statement, Wildcard;unisex;Bergamot, Nutmeg, Cardamom and Apple;Cashmere Wood and Ambergris;Musk, Patchouli and Vanilla;musky, fresh spicy, woody, amber, warm spicy;4.68;75.0
Arabian Oud;Hayati;Statement, Wildcard;unisex;Rose, Citruses, Tuberose, Mandarin Orange and Bergamot;Amber, Sandalwood, Patchouli and Vetiver;Agarwood (Oud), Musk and Cardamom;citrus, woody, rose, warm spicy, amber;4.07;58.0
Arabian Oud;Ghroob;Statement, Wildcard;unisex;Saffron, Orange Blossom, Agarwood (Oud), Cinnamon, Marjoram and Thyme;Gardenia, Bulgarian Rose, Jasmine, Palmarosa and Geranium;Sandalwood, White Amber, Musk and Vanilla;white floral, warm spicy, oud, fresh spicy, powdery;4.31;192.0
Arabian Oud;Gharam;Statement, Wildcard;women;Passionfruit, Lemon, Nutmeg and Rosemary;Freesia, Lotus, Hibiscus and Rose;Musk and Vetiver;floral, fresh spicy, aromatic, citrus, tropical;4.17;80.0
Arabian Oud;Gentleman Secret;Statement;men;Bergamot and Orange Blossom;;Patchouli, Sandalwood and Musk;woody, citrus, powdery, white floral, musky;4.3;43.0
Arabian Oud;Feelings;Statement;unisex;Pineapple and Raspberry Bloom;;;floral, tropical, fruity, sweet, lactonic;3.78;23.0
Arabian Oud;Ehsas;Statement;men;Lime and Wild Rose;;;woody, amber, citrus, rose, powdery;4.2;49.0
Arabian Oud;Durrat Al Arabia;Statement, Wildcard;unisex;Black Currant, Spicy Notes and Lemon;Cloves, Coriander, Ylang-Ylang, Rose, Lavender and Jasmine;Chocolate, Vanilla, Amber, Patchouli, Sandalwood, Vetiver and Musk;warm spicy, woody, aromatic, fruity, vanilla;4.42;88.0
Arabian Oud;Durrat Al Arabia;Wildcard;men;Ylang-Ylang and Jasmine;Labdanum and Coriander;Patchouli, Vanilla, Amber, Sandalwood and Musk;amber, woody, patchouli, vanilla, yellow floral;4.3;33.0
Arabiyat;Khasab & Oud;Wildcard;unisex;;;;oud, warm spicy, amber, musky, fresh spicy;4.45;29.0
Arabiyat;Blueberry Musk;Statement;unisex;Blueberry and Blackberry;Freesia, Rose and Lavender;Raspberry, Vanilla, Oakmoss and Patchouli;fruity, sweet, vanilla, floral;4.17;53.0
Arabiyat;Lamsat Harir;Statement;women;Grapes and Black Currant;Tuberose, Jasmine and Heliotrope;Musk, Patchouli and Cedar;fruity, white floral, tuberose, powdery, woody;4.31;131.0
Arabiyat;Oud Al Layl;Statement, Wildcard;unisex;Rose, Woodsy Notes and Saffron;Amber and Musk;;rose, woody, oud, amber, warm spicy;4.14;111.0
Ariana Grande;Thank U, Next Body Mist;Statement;women;Raspberry and Pear;Coconut and Pink Rose;Macarons and Musk;sweet, coconut, fruity, vanilla, almond;4.04;23.0
Ariana Grande;Sweet Like Candy Limited Edition;Safe;women;Red Berries, Pear and Bergamot;Frangipani, Honeysuckle and Jasmine Sambac;Marshmallow, Whipped Cream, Black Currant, Cashmere Wood, Amber and Musk;fruity, sweet, floral, white floral, powdery;4.32;281.0
Ariana Grande;Cloud Body Mist;Statement;women;Lavender, Bergamot and Pear;Whipped Cream, Coconut, Praline and Vanilla Orchid;Musk and Woody Notes;sweet, lactonic, coconut, lavender, vanilla;3.73;33.0
Ariana Grande;Moonlight Body Mist;Statement;women;Black Currant and Plum;Marshmallow and Peony;Vanilla, Amber and Sandalwood;fruity, sweet, powdery, vanilla, floral;3.57;21.0
Ariana Grande;Sweet Like Candy Body Mist;Statement;women;Blackberry, Bergamot and Pear;Whipped Cream, Marshmallow, Black Currant, Honeysuckle, Jasmine and Frangipani;Vanilla and Cashmere Wood;fruity, sweet, vanilla, white floral, citrus;4.21;24.0
Ariana Grande;Mod Blush;Statement;women;Raspberry, Passionfruit, Pink Pepper and Bergamot;Rose, Pear and Magnolia;Musk, Ambroxan, Dreamwood and Sandalwood;fruity, sweet, musky, rose, floral;3.82;806.0
Ariana Grande;Thank U Next 2.0;Safe;women;Apple juice, Wild Strawberry and Pomegranate;White Orchid and Jasmine;Marshmallow, Musk and Sandalwood;fruity, sweet, woody, powdery, musky;4.15;776.0
Ariana Grande;Frankie;Statement;unisex;Apricot, Pink Pepper and Pear;Cedar and Wild Orchid;Sugar, Musk and Sandalwood;sweet, woody, powdery, fruity, musky;3.71;191.0
Armaf;Vanity Femme Essence;Statement;women;Bitter Orange, Freesia, Peach and Orange Blossom;Rose, Magnolia and Jasmine;Musk, Vanilla and Amber;floral, citrus, white floral, rose, powdery;3.94;126.0
Armaf;Venetian;Wildcard;men;Citruses, Petitgrain, Orange and Cardamom;Rose, Lavender, Jasmine and Lily-of-the-Valley;Vetiver, Oakmoss and Musk;citrus, aromatic, earthy, woody, mossy;3.87;47.0
Armaf;Vitesse Carbon;Statement;men;Iris, Bergamot, Sage, Lemon Verbena and Lemon;Lavender, Violet and Spices;Leather, Ambergris, Vetiver and Sandalwood;citrus, aromatic, powdery, violet, iris;4.21;29.0
Armaf;Derby Club House Santa Anita;Statement;women;Lime, Freesia and Orange;Jasmine and Tonka Bean;Sandalwood and Cedar;citrus, woody, floral, white floral, sweet;3.91;23.0
Armaf;High Street;Statement;women;Citruses and Raspberry;Magnolia and Honeysuckle;Amber, Cashmere Wood and Musk;citrus, amber, fruity, floral, musky;3.86;73.0
Armaf;Futura La Homme Intense;Statement;men;Sage, Grapefruit and Cardamom;Cinnamon, Violet Leaves and Lavender;Woody Notes and Tonka Bean;aromatic, warm spicy, cinnamon, citrus, herbal;3.65;68.0
Armaf;Futura La Homme;Safe, Statement;unisex;Lavender, Sage and Bergamot;Iris, Amber and Coffee;Vetiver, Leather and Cedar;iris, aromatic, powdery, woody, lavender;4.14;315.0
Armaf;Excellus Men;Statement, Wildcard;men;Neroli, Bergamot and Grapefruit;Nutmeg, Woodsy Notes and Jasmine;Leather, Sandalwood, Amber and Vetiver;citrus, fresh spicy, woody, white floral, leather;4.17;53.0
Armaf;Eternia Women;Safe;women;Bitter Orange, Orange Blossom and Lemon;Almond, Geranium and Rose;Vanilla, Tonka Bean and Sandalwood;vanilla, citrus, sweet, almond, aromatic;4.42;168.0
Armaf;Eternia Man;Wildcard;men;Black Pepper, Grapefruit, Orange and Bergamot;Cypress, Saffron, Sage and Rose;Vetiver, Olibanum and Amber;aromatic, fresh spicy, woody, amber, citrus;4.17;40.0
Armaf;Ego Tigre;Wildcard;men;Aquatic notes, Bergamot, Pineapple and Apple;Rose, Patchouli and Jasmine;Oakmoss, Musk, Ambergris, Amber and Vanilla;amber, marine, rose, earthy, mossy;4.17;23.0
Armaf;Ego Exotic;Statement;women;Orange Blossom and Peach;Jasmine Sambac, Tuberose and Rose;Musk, Sandalwood, Praline and Iris;white floral, powdery, musky, sweet, woody;4.16;44.0
Armaf;Edition One Men;Statement;men;Bergamot and Citruses;Sage and Lavender;Cedar and Sandalwood;aromatic, citrus, woody, herbal, lavender;3.76;67.0
Armaf;Vanity Femme Elegance;Statement;women;Aldehydes, Raspberry, Black Currant and Peach;Gardenia, Tuberose, Ylang-Ylang, Peony and Rose;Sandalwood, Vanilla, Cashmere Wood, Amber, Cedar and Musk;woody, white floral, fruity, tuberose, sweet;3.5;40.0
Armaf;Derby Club House Gold Men;Statement, Wildcard;men;Cardamom, Spicy Notes and Bergamot;Red Apple, Pineapple and Jasmine;Tonka Bean, Amber and Cedar;fruity, sweet, warm spicy, amber, aromatic;4.04;121.0
Armaf;Derby Club House Gold;Statement;women;Black Currant, Mandarin Orange, Bergamot and Orange;Heliotrope, Tuberose and Jasmine;Vanilla, Tonka Bean and Cashmeran;vanilla, powdery, white floral, amber, sweet;4.24;94.0
Armaf;Derby Club House Fairmount;Statement;women;Peach, Mango, Cassis, Pink Peony and Pink Pepper;Litchi, Pineapple and Pomegranate;White Tea, White Musk, Teak Wood and Sandalwood;fruity, tropical, sweet, fresh, woody;3.97;39.0
Armaf;The Warrior;Wildcard;men;Citruses, Pink Pepper and Vetiver;Grapefruit, Labdanum and Cedar;Ginger, Olibanum and Sandalwood;citrus, warm spicy, woody, fresh, amber;3.81;62.0
Armaf;Vanity Femme;Wildcard;women;Peach, Mandarin Orange and Pink Pepper;Lilac and Geranium;Patchouli and Amber;floral, citrus, fruity, patchouli, amber;3.86;59.0
Armaf;The Pride Of;Statement, Wildcard;women;Saffron, Coriander and Jasmine;Amberwood, Praline, Freesia, Lemon and Tagetes;Ambroxan, Amber, Moss and Cedar;amber, woody, warm spicy, sweet, musky;4.02;58.0
Armaf;Tres Jour;Safe;women;Green Tea, Lemon and Neroli;White Flowers, Jasmine and Tuberose;Musk, Cedar, Patchouli and Vanilla;white floral, citrus, green, woody, fresh;4.01;196.0
Armaf;Sauville Pour Femme;Statement;women;Pineapple, Grapefruit, Orange and Rose;Pink Pepper and Passionfruit;Praline, Patchouli, Vanille, Amber and Musk;sweet, fruity, tropical, soft spicy, citrus;3.84;63.0
Armaf;Seduction Pour Homme;Wildcard;men;Grapefruit and Sea Notes;Spices, Geranium and Bay Leaf;Guaiac Wood and Amber;aromatic, fresh spicy, citrus, marine, woody;4.19;31.0
Armaf;Shades;Statement, Wildcard;men;Violet Leaf, Bergamot, Pineapple, Cardamom, Plum and Lime;Cedar Needles, Rosemary, Geranium, Jasmine and Sage;Cedar, Ambergris, White Musk, Sandalwood and Patchouli;woody, aromatic, fresh spicy, citrus, warm spicy;3.97;113.0
Armaf;Shades Wood;Statement, Wildcard;men;Rose, Geranium and Citruses;Cloves, Cumin and Pepper;Agarwood (Oud), Sandalwood and Cedar;fresh spicy, rose, warm spicy, woody, oud;3.92;492.0
Armaf;Signature Night;Statement, Wildcard;men;;Iris, Leather and Violet Leaf;Tonka Bean, Benzoin, Guaiac Wood and Sandalwood;warm spicy, woody, iris, amber, powdery;4.18;102.0
Armaf;Signature True;Safe, Statement, Wildcard;unisex;Pear, Tangerine and Bergamot;Strawberry and Passionfruit;Praline, Coffee, Caramel, Vanilla and Patchouli;sweet, fruity, coffee, warm spicy, caramel;4.18;240.0
Armaf;Skin Couture;Statement;women;Bergamot, Cassis, Lemon and Raspberry;Ylang-Ylang, Violet Leaf and Lily-of-the-Valley;Musk and White Woods;musky, woody, powdery, yellow floral, citrus;3.77;22.0
Armaf;Studio Flame The Lipstick;Statement;women;Blackberry and Cranberry;Violet and Peony;Vanilla, Sandalwood and Amber;fruity, vanilla, powdery, violet, sweet;4.29;24.0
Armaf;Tres Nuit Lyric;Safe, Statement, Wildcard;men;Watery Notes, Bergamot and Mandarin Orange;Rosemary, Cypress and Lavender;Musk, Patchouli and Amber;citrus, aromatic, fresh spicy, aquatic, woody;4.01;248.0
Armaf;Tag Him Uomo Rosso;Wildcard;men;Lavender, Cardamom and Aromatic Notes;Black Pepper and Spicy Notes;Patchouli, Vanilla, Tonka and Incense;warm spicy, vanilla, aromatic, amber, fresh spicy;4.61;23.0
Armaf;Tag-her Prestige;Statement, Wildcard;women;;;Sandalwood and Vanilla;warm spicy, cinnamon, woody, powdery, vanilla;4.11;133.0
Armaf;Tag-him;Wildcard;men;Grapefruit, Lemon, Pink Pepper and Bergamot;Ginger, Mint, Lavender and Nutmeg;Vetiver, Sandalwood, Patchouli and Cedar;citrus, aromatic, woody, fresh spicy, warm spicy;3.86;677.0
Armaf;Tag-him Prestige;Statement, Wildcard;men;Grapefruit, Mint and Bergamot;Lavender, Blood Orange, Cinnamon and Pepper;Vanilla, Amber, White Wood and Patchouli;citrus, fresh spicy, warm spicy, lavender, aromatic;4.15;144.0
Armaf;The Pride Of;Safe, Statement, Wildcard;men;Lemon, Lemon Verbena and Bergamot;Nutmeg, Oakmoss and Cinnamon;Tonka Bean, Vanilla and Sandalwood;citrus, vanilla, fresh spicy, aromatic, woody;4.15;259.0
Armaf;The Pride Of;Statement, Wildcard;women;Orange Blossom, Jasmine and Mandarin Orange;Almond and Coffee;Cacao Pod, Tonka Bean and Patchouli;white floral, warm spicy, cacao, sweet, citrus;4.21;107.0
Armaf;Derby Club House Blanche;Safe;men;Water Notes, Bergamot and Orange;Green Tea and Black Currant;Musk, Galbanum and Sandalwood;green, citrus, fruity, aquatic, fresh;4.04;520.0
Armaf;Tres Altin;Statement;women;Bitter Orange, Neroli, Raspberry and Jasmine;Tuberose, Gardenia, Rose and Lily-of-the-Valley;Honey, Patchouli, Amber and Musk;white floral, citrus, tuberose, sweet, honey;4.35;34.0
Armaf;Tres Bon;Statement;men;Spicy Notes, Bergamot and Lemon;Violet, Lavender and Pink Pepper;Sandalwood, Musk, Vanilla and Amber;powdery, citrus, woody, violet, musky;3.79;80.0
Armaf;Tag-her;Statement;women;Bergamot, Neroli and Pink Pepper;Orange Blossom, Jasmine, Honeysuckle, Rose and Iris;Vanilla, Musk, Caramel and Labdanum;citrus, white floral, musky, sweet, powdery;3.9;247.0
Armaf;Derby Club House Belmont;Statement, Wildcard;men;Orange, Grapefruit and Lemon;Pink Pepper, Pepper and Pelargonium;Vetiver, Benzoin, Cedar and Patchouli;citrus, woody, aromatic, fresh spicy, amber;4.19;123.0
Armaf;Club De Nuit Intense Man Perfume Oil;Wildcard;men;Pineapple, Bergamot, Lemon, Apple and Black Currant;Birch, Jasmine and Rose;Ambergris, Vanilla, Musk and Patchouli;amber, citrus, sweet, fruity, animalic;4.13;23.0
Armaf;Derby Club House;Statement, Wildcard;men;Lavender and Bergamot;Spicy Notes, Blackwood, Patchouli and Cedar;Vanilla, Tonka Bean and White Amber;lavender, woody, vanilla, amber, warm spicy;3.94;137.0
Armaf;Gold;Statement;women;Osmanthus, Orange Blossom and Saffron;Honey and Amber;Amber, Vanilla, Musk and Vetiver;floral, honey, sweet, amber, fruity;3.83;99.0
Armaf;Black Onyx;Statement, Wildcard;unisex;Cardamom, Lemon and Cinnamon;Myrrh, Agarwood (Oud) and Rose;Patchouli, White Musk and Amber;warm spicy, amber, aromatic, patchouli, oud;3.95;206.0
Armaf;Voyage Titan Pour Homme;Wildcard;men;Pink Pepper, Cardamom, Cinnamon and Bergamot;Geranium, Jasmine, Incense, Lavender and Labdanum;Tobacco, Sandalwood, Agarwood (Oud), Vanilla, Ambroxan and Vetiver;warm spicy, aromatic, tobacco, fresh spicy, amber;4.1;21.0
Armaf;Voyage Brown;Wildcard;men;;;;woody, warm spicy;4.26;23.0
Armaf;Voyage Bleu;Statement, Wildcard;men;Lemon, Bergamot, Grapefruit and Pink Pepper;Ginger, Mint and Nutmeg;Cedar, Patchouli, Sandalwood and Vetiver;citrus, woody, aromatic, fresh spicy, warm spicy;3.99;157.0
Armaf;Voyage;Statement, Wildcard;men;Grapefruit, Iris, Cardamom and Sage;Cinnamon, Lavender and Violet Leaf;Tonka Bean and Woody Notes;warm spicy, aromatic, citrus, cinnamon, iris;3.97;64.0
Armaf;Aura Fresh;Statement;unisex;Carambola (Star Fruit), Lemon, Bergamot and Cardamom;Sage and Pepper;Woody Notes, Musk, Cedar, Amber and Saffron;citrus, fruity, tropical, woody, aromatic;4.07;99.0
Armaf;Aura;Safe, Statement, Wildcard;men;Black Cardamom, Lemon, Bergamot and Apple;Geranium, Violet, Iris, Lavender and Pepper;Musk, Amber, Sandalwood and Vetiver;aromatic, fresh spicy, powdery, citrus, warm spicy;4.16;188.0
Armaf;All You Need Is Passion;Statement;women;Black Currant, Pear, Pink Pepper and Bergamot;Ylang-Ylang, Jasmine, Mimosa, Neroli and Tuberose;Tonka Bean, Hazelnut, Vetiver and Patchouli;fruity, woody, sweet, yellow floral, aromatic;4.41;39.0
Armaf;All You Need Is Love Pour Homme;Wildcard;men;Sea Notes, Lemon and Mandarin Orange;Geranium, Lavender, Orange Blossom and Sage;Tonka Bean, Vetiver, Patchouli, Vanilla and Cedar;aromatic, fresh spicy, woody, marine, vanilla;4.54;24.0
Armaf;All You Need Is Love;Statement;women;Pomegranate, Pink Pepper, Gooseberry and Raspberry;Rose and Peony;;musky, rose, fruity, sweet, floral;3.86;29.0
Armaf;Victory;Wildcard;men;Pear, Cardamom and Orange;Fruits, Pink Pepper and Lavender;Patchouli and Vetiver;fruity, sweet, soft spicy, warm spicy, aromatic;4.28;43.0
Armaf;Ventana Pour Homme;Safe, Statement, Wildcard;men;Grapefruit, Lemon and Mandarin Orange;Lavender, Geranium, Vetiver and Patchouli;Cedar, Amber and Precious Woods;citrus, aromatic, woody, fresh spicy, lavender;4.12;754.0
Armaf;Ventana Marine;Wildcard;unisex;Calabrian bergamot, Sicilian Orange, Petitgrain, Citron and Cardamom;Ginger, Rosemary, Tunisian Neroli, Jasmine, Cinnamon and Lily of the Valley;Chinese Tea, Guaiac Wood, Palisander Rosewood and Sandalwood;citrus, woody, warm spicy, fresh spicy, aromatic;4.14;29.0
Armaf;Shades Blue;Statement;men;Grapefruit, Bergamot, Lemon and Cardamom;Ginger, Rosemary, Mint, Pine and Nutmeg;Vetiver, Patchouli, Cedar, Sandalwood and Spices;woody, aromatic, citrus, warm spicy, fresh spicy;3.66;88.0
